Alignment not found |  ,  | Line no.  1
Alignment not found |  Lu-Uru  | Line no.  11532
Alignment not found |  ;  | Line no.  11532
Alignment not found |  total  | Line no.  11533
Alignment not found |  :  | Line no.  11533
Alignment not found |  …  | Line no.  11533
Alignment not found |  shekels  | Line no.  11533
Alignment not found |  ,  | Line no.  11533
Alignment not found |  from  | Line no.  11534
Alignment not found |  Alla  | Line no.  11534
Alignment not found |  ,  | Line no.  11534
Alignment not found |  the  | Line no.  11534
Alignment not found |  fattener  | Line no.  11534
Alignment not found |  ,  | Line no.  11534
Alignment not found |  the  | Line no.  11535
Alignment not found |  sealed  | Line no.  11535
Alignment not found |  document  | Line no.  11535
Alignment not found |  is  | Line no.  11535
Alignment not found |  to  | Line no.  11535
Alignment not found |  be  | Line no.  11535
Alignment not found |  destroyed  | Line no.  11535
Alignment not found |  ;  | Line no.  11535
Alignment not found |  …  | Line no.  11536
Alignment not found |  3  | Line no.  11536
Alignment not found |  shekel  | Line no.  11536
Alignment not found |  ,  | Line no.  11536
Alignment not found |  …  | Line no.  11537
Alignment not found |  ,  | Line no.  11538
Alignment not found |  ,  | Line no.  11540
Alignment not found |  Lugal-itida  | Line no.  11542
Alignment not found |  ,  | Line no.  11542
Alignment not found |  ,  | Line no.  11543
Alignment not found |  son  | Line no.  11544
Alignment not found |  of  | Line no.  11544
Alignment not found |  Ur-dumuzida  | Line no.  11544
Alignment not found |  ,  | Line no.  11544
Alignment not found |  Šū-Suen  | Line no.  11546
Alignment not found |  ,  | Line no.  11546
Alignment not found |  strong  | Line no.  11547
Alignment not found |  king  | Line no.  11547
Alignment not found |  ,  | Line no.  11547
Alignment not found |  king  | Line no.  11548
Alignment not found |  of  | Line no.  11548
Alignment not found |  Ur  | Line no.  11548
Alignment not found |  ,  | Line no.  11548
Alignment not found |  king  | Line no.  11549
Alignment not found |  of  | Line no.  11549
Alignment not found |  the  | Line no.  11549
Alignment not found |  four  | Line no.  11549
Alignment not found |  corners  | Line no.  11549
Alignment not found |  Alinisu  | Line no.  11550
Alignment not found |  ,  | Line no.  11550
Alignment not found |  scribe  | Line no.  11551
Alignment not found |  ,  | Line no.  11551
Alignment not found |  nubanda  | Line no.  11552
Alignment not found |  of  | Line no.  11552
Alignment not found |  the  | Line no.  11552
Alignment not found |  weavers  | Line no.  11552
Alignment not found |  ,  | Line no.  11552
Alignment not found |  is  | Line no.  11553
Alignment not found |  your  | Line no.  11553
Alignment not found |  servant  | Line no.  11553
Alignment not found |  .  | Line no.  11553
Alignment not found |  Basket-of-tablets  | Line no.  11554
Alignment not found |  xxx  | Line no.  11555
Alignment not found |  xxx  | Line no.  11556
Alignment not found |  xxx  | Line no.  11557
Alignment not found |  xxx  | Line no.  11558
Alignment not found |  xxx  | Line no.  11559
Alignment not found |  xxx  | Line no.  11560
Alignment not found |  3  | Line no.  11561
Alignment not found |  sheep  | Line no.  11561
Alignment not found |  4  | Line no.  11562
Alignment not found |  day  | Line no.  11562
Alignment not found |  ,  | Line no.  11562
Alignment not found |  3  | Line no.  11563
Alignment not found |  sheep  | Line no.  11563
Alignment not found |  ,  | Line no.  11563
Alignment not found |  grass-fed  | Line no.  11563
Alignment not found |  ,  | Line no.  11563
Alignment not found |  3  | Line no.  11564
Alignment not found |  ewe  | Line no.  11564
Alignment not found |  ,  | Line no.  11564
Alignment not found |  grass-fed  | Line no.  11564
Alignment not found |  ,  | Line no.  11564
Alignment not found |  4  | Line no.  11565
Alignment not found |  day  | Line no.  11565
Alignment not found |  slaughtered  | Line no.  11566
Alignment not found |  ,  | Line no.  11566
Alignment not found |  with  | Line no.  11566
Alignment not found |  Balli  | Line no.  11566
Alignment not found |  ;  | Line no.  11566
Alignment not found |  month  | Line no.  11567
Alignment not found |  :  | Line no.  11567
Alignment not found |  “  | Line no.  11567
Alignment not found |  Big-festival  | Line no.  11567
Alignment not found |  ”  | Line no.  11567
Alignment not found |  Šū-Suen  | Line no.  11568
Alignment not found |  ,  | Line no.  11568
Alignment not found |  strong  | Line no.  11569
Alignment not found |  king  | Line no.  11569
Alignment not found |  ,  | Line no.  11569
Alignment not found |  king  | Line no.  11570
Alignment not found |  of  | Line no.  11570
Alignment not found |  Ur  | Line no.  11570
Alignment not found |  ,  | Line no.  11570
Alignment not found |  king  | Line no.  11571
Alignment not found |  of  | Line no.  11571
Alignment not found |  the  | Line no.  11571
Alignment not found |  four  | Line no.  11571
Alignment not found |  corners  | Line no.  11571
Alignment not found |  Ur-Gal-…  | Line no.  11572
Alignment not found |  ,  | Line no.  11572
Alignment not found |  scribe  | Line no.  11573
Alignment not found |  ,  | Line no.  11573
Alignment not found |  son  | Line no.  11574
Alignment not found |  of  | Line no.  11574
Alignment not found |  …-sa  | Line no.  11574
Alignment not found |  ,  | Line no.  11574
Alignment not found |  is  | Line no.  11575
Alignment not found |  your  | Line no.  11575
Alignment not found |  servant  | Line no.  11575
Alignment not found |  .  | Line no.  11575
Alignment not found |  shekels  | Line no.  11576
Alignment not found |  of  | Line no.  11576
Alignment not found |  silver  | Line no.  11576
Alignment not found |  from  | Line no.  11577
Alignment not found |  S  | Line no.  11577
Alignment not found |  .  | Line no.  11577
Alignment not found |  Šu-Ninšubur  | Line no.  11578
Alignment not found |  received  | Line no.  11579
Alignment not found |  .  | Line no.  11579
Alignment not found |  Before  | Line no.  11580
Alignment not found |  Qassu-aḫum  | Line no.  11580
Alignment not found |  ;  | Line no.  11580
Alignment not found |  before  | Line no.  11581
Alignment not found |  Nur-ili  | Line no.  11581
Alignment not found |  ;  | Line no.  11581
Alignment not found |  before  | Line no.  11582
Alignment not found |  Šu-Mama  | Line no.  11582
Alignment not found |  .  | Line no.  11582
Alignment not found |  The  | Line no.  11583
Alignment not found |  month  | Line no.  11583
Alignment not found |  “  | Line no.  11583
Alignment not found |  gisiga  | Line no.  11583
Alignment not found |  .  | Line no.  11583
Alignment not found |  ”  | Line no.  11583
Alignment not found |  ,  | Line no.  11584
Alignment not found |  grain-fed  | Line no.  11584
Alignment not found |  ,  | Line no.  11584
Alignment not found |  4  | Line no.  11584
Alignment not found |  grade  | Line no.  11584
Alignment not found |  ,  | Line no.  11584
Alignment not found |  3  | Line no.  11585
Alignment not found |  sheep  | Line no.  11585
Alignment not found |  ,  | Line no.  11585
Alignment not found |  grain-fed  | Line no.  11585
Alignment not found |  “  | Line no.  11586
Alignment not found |  following  | Line no.  11586
Alignment not found |  ox  | Line no.  11586
Alignment not found |  ”  | Line no.  11586
Alignment not found |  for  | Line no.  11587
Alignment not found |  the  | Line no.  11587
Alignment not found |  kitchen  | Line no.  11587
Alignment not found |  on  | Line no.  11587
Alignment not found |  account  | Line no.  11587
Alignment not found |  of  | Line no.  11587
Alignment not found |  the  | Line no.  11587
Alignment not found |  messengers  | Line no.  11587
Alignment not found |  ARADmu  | Line no.  11588
Alignment not found |  was  | Line no.  11588
Alignment not found |  enforcer  | Line no.  11588
Alignment not found |  ;  | Line no.  11588
Alignment not found |  3  | Line no.  11589
Alignment not found |  sheep  | Line no.  11589
Alignment not found |  ,  | Line no.  11589
Alignment not found |  grain-fed  | Line no.  11589
Alignment not found |  ,  | Line no.  11589
Alignment not found |  the  | Line no.  11589
Alignment not found |  king  | Line no.  11589
Alignment not found |  with  | Line no.  11589
Alignment not found |  knife  | Line no.  11589
Alignment not found |  killed  | Line no.  11589
Alignment not found |  its  | Line no.  11590
Alignment not found |  meat  | Line no.  11590
Alignment not found |  did  | Line no.  11590
Alignment not found |  Ula  | Line no.  11590
Alignment not found |  his  | Line no.  11590
Alignment not found |  child  | Line no.  11590
Alignment not found |  receive  | Line no.  11590
Alignment not found |  ;  | Line no.  11590
Alignment not found |  Šu-Suen-ilī  | Line no.  11591
Alignment not found |  ,  | Line no.  11591
Alignment not found |  the  | Line no.  11591
Alignment not found |  barber  | Line no.  11591
Alignment not found |  ,  | Line no.  11591
Alignment not found |  was  | Line no.  11591
Alignment not found |  enforcer  | Line no.  11591
Alignment not found |  ;  | Line no.  11591
Alignment not found |  sheep  | Line no.  11592
Alignment not found |  booked  | Line no.  11593
Alignment not found |  out  | Line no.  11593
Alignment not found |  of  | Line no.  11593
Alignment not found |  the  | Line no.  11593
Alignment not found |  king  | Line no.  11593
Alignment not found |  ;  | Line no.  11593
Alignment not found |  3  | Line no.  11594
Alignment not found |  sheep  | Line no.  11594
Alignment not found |  ,  | Line no.  11594
Alignment not found |  grain-fed  | Line no.  11594
Alignment not found |  ,  | Line no.  11594
Alignment not found |  Dada  | Line no.  11594
Alignment not found |  the  | Line no.  11594
Alignment not found |  castrate  | Line no.  11594
Alignment not found |  ,  | Line no.  11594
Alignment not found |  when  | Line no.  11594
Alignment not found |  to  | Line no.  11594
Alignment not found |  Girsu  | Line no.  11594
Alignment not found |  he  | Line no.  11594
Alignment not found |  went  | Line no.  11594
Alignment not found |  ;  | Line no.  11594
Alignment not found |  3  | Line no.  11595
Alignment not found |  sheep  | Line no.  11595
Alignment not found |  ,  | Line no.  11595
Alignment not found |  grain-fed  | Line no.  11595
Alignment not found |  ,  | Line no.  11595
Alignment not found |  “  | Line no.  11595
Alignment not found |  following  | Line no.  11595
Alignment not found |  the  | Line no.  11595
Alignment not found |  ox  | Line no.  11595
Alignment not found |  ,  | Line no.  11595
Alignment not found |  ”  | Line no.  11595
Alignment not found |  3  | Line no.  11596
Alignment not found |  sheep  | Line no.  11596
Alignment not found |  ,  | Line no.  11596
Alignment not found |  grass-fed  | Line no.  11596
Alignment not found |  ,  | Line no.  11596
Alignment not found |  …  | Line no.  11597
Alignment not found |  ;  | Line no.  11597
Alignment not found |  3  | Line no.  11598
Alignment not found |  sheep  | Line no.  11598
Alignment not found |  ,  | Line no.  11598
Alignment not found |  grain-fed  | Line no.  11598
Alignment not found |  ,  | Line no.  11598
Alignment not found |  for  | Line no.  11598
Alignment not found |  Banana  | Line no.  11598
Alignment not found |  ,  | Line no.  11598
Alignment not found |  man  | Line no.  11598
Alignment not found |  of  | Line no.  11598
Alignment not found |  Marhaši  | Line no.  11598
Alignment not found |  ,  | Line no.  11598
Alignment not found |  to  | Line no.  11599
Alignment not found |  Uruk  | Line no.  11599
Alignment not found |  going  | Line no.  11599
label .01 or .02 does not exist for the predicate. 11599
Alignment not found |  ,  | Line no.  11599
Alignment not found |  on  | Line no.  11599
Alignment not found |  a  | Line no.  11599
Alignment not found |  barge  | Line no.  11599
Alignment not found |  stationed  | Line no.  11599
Alignment not found |  ;  | Line no.  11599
Alignment not found |  3  | Line no.  11600
Alignment not found |  ox  | Line no.  11600
Alignment not found |  ,  | Line no.  11600
Alignment not found |  grain-fed  | Line no.  11600
Alignment not found |  ,  | Line no.  11600
Alignment not found |  3  | Line no.  11601
Alignment not found |  sheep  | Line no.  11601
Alignment not found |  ,  | Line no.  11601
Alignment not found |  grain-fed  | Line no.  11601
Alignment not found |  of  | Line no.  11602
Alignment not found |  Ipḫuḫa  | Line no.  11602
Alignment not found |  ,  | Line no.  11602
Alignment not found |  man  | Line no.  11602
Alignment not found |  of  | Line no.  11602
Alignment not found |  Simanum  | Line no.  11602
Alignment not found |  ,  | Line no.  11602
Alignment not found |  tablet-lead  | Line no.  11603
Alignment not found |  ,  | Line no.  11603
Alignment not found |  into  | Line no.  11603
Alignment not found |  the  | Line no.  11603
Alignment not found |  city  | Line no.  11603
Alignment not found |  having  | Line no.  11603
Alignment not found |  entered  | Line no.  11603
Alignment not found |  ;  | Line no.  11603
Alignment not found |  ARADmu  | Line no.  11604
Alignment not found |  was  | Line no.  11604
Alignment not found |  enforcer  | Line no.  11604
Alignment not found |  ;  | Line no.  11604
Alignment not found |  ,  | Line no.  11605
Alignment not found |  ,  | Line no.  11605
Alignment not found |  gifts  | Line no.  11606
Alignment not found |  of  | Line no.  11606
Alignment not found |  the  | Line no.  11606
Alignment not found |  king  | Line no.  11606
Alignment not found |  ,  | Line no.  11606
Alignment not found |  midnight  | Line no.  11606
Alignment not found |  ,  | Line no.  11606
Alignment not found |  in  | Line no.  11607
Alignment not found |  Puzris-Dagan  | Line no.  11607
Alignment not found |  ,  | Line no.  11607
Alignment not found |  4  | Line no.  11608
Alignment not found |  day  | Line no.  11608
Alignment not found |  ;  | Line no.  11608
Alignment not found |  from  | Line no.  11609
Alignment not found |  Šulgi-ilī  | Line no.  11609
Alignment not found |  booked  | Line no.  11609
Alignment not found |  out  | Line no.  11609
Alignment not found |  ;  | Line no.  11609
Alignment not found |  via  | Line no.  11610
Alignment not found |  Nanna-maba  | Line no.  11610
Alignment not found |  ,  | Line no.  11610
Alignment not found |  šatam-official  | Line no.  11610
Alignment not found |  ,  | Line no.  11610
Alignment not found |  and  | Line no.  11610
Alignment not found |  Šu-Suen-idi-ili-mālik  | Line no.  11610
Alignment not found |  the  | Line no.  11610
Alignment not found |  šarabdu-official  | Line no.  11610
Alignment not found |  ;  | Line no.  11610
Alignment not found |  month  | Line no.  11611
Alignment not found |  :  | Line no.  11611
Alignment not found |  “  | Line no.  11611
Alignment not found |  Piglet-feast  | Line no.  11611
Alignment not found |  ,  | Line no.  11611
Alignment not found |  ”  | Line no.  11611
Alignment not found |  year  | Line no.  11612
Alignment not found |  :  | Line no.  11612
Alignment not found |  “  | Line no.  11612
Alignment not found |  Ibbi-Suen  | Line no.  11612
Alignment not found |  is  | Line no.  11612
Alignment not found |  king  | Line no.  11612
Alignment not found |  ;  | Line no.  11612
Alignment not found |  ”  | Line no.  11612
Alignment not found |  3  | Line no.  11613
Alignment not found |  ox  | Line no.  11613
Alignment not found |  ,  | Line no.  11613
Alignment not found |  3  | Line no.  11613
Alignment not found |  sheep  | Line no.  11613
Alignment not found |  .  | Line no.  11613
Alignment not found |  Iddin-Ilum  | Line no.  11614
Alignment not found |  ,  | Line no.  11614
Alignment not found |  governor-general  | Line no.  11615
Alignment not found |  of  | Line no.  11615
Alignment not found |  Mari  | Line no.  11615
Alignment not found |  ,  | Line no.  11615
Alignment not found |  to  | Line no.  11616
Alignment not found |  Ištar  | Line no.  11616
Alignment not found |  statue  | Line no.  11617
Alignment not found |  of  | Line no.  11617
Alignment not found |  himself  | Line no.  11617
Alignment not found |  dedicated  | Line no.  11618
Alignment not found |  .  | Line no.  11618
Alignment not found |  One  | Line no.  11619
Alignment not found |  who  | Line no.  11619
Alignment not found |  this  | Line no.  11619
Alignment not found |  inscription  | Line no.  11619
Alignment not found |  shall  | Line no.  11620
Alignment not found |  remove  | Line no.  11620
Alignment not found |  ,  | Line no.  11620
Alignment not found |  his  | Line no.  11621
Alignment not found |  seed  | Line no.  11621
Alignment not found |  may  | Line no.  11621
Alignment not found |  Ištar  | Line no.  11621
Alignment not found |  pluck  | Line no.  11622
Alignment not found |  up  | Line no.  11622
Alignment not found |  .  | Line no.  11622
Alignment not found |  for  | Line no.  11623
Alignment not found |  life  | Line no.  11623
Alignment not found |  of  | Line no.  11624
Alignment not found |  Šulgi  | Line no.  11624
Alignment not found |  ,  | Line no.  11624
Alignment not found |  …-saga  | Line no.  11625
Alignment not found |  the  | Line no.  11626
Alignment not found |  orchardman  | Line no.  11626
Alignment not found |  dedicated  | Line no.  11627
Alignment not found |  to  | Line no.  11627
Alignment not found |  him  | Line no.  11627
Alignment not found |  .  | Line no.  11627
Alignment not found |  3  | Line no.  11628
Alignment not found |  ewes  | Line no.  11628
Alignment not found |  ,  | Line no.  11628
Alignment not found |  billy  | Line no.  11629
Alignment not found |  goats  | Line no.  11629
Alignment not found |  ,  | Line no.  11629
Alignment not found |  3  | Line no.  11630
Alignment not found |  nanny  | Line no.  11630
Alignment not found |  goats  | Line no.  11630
Alignment not found |  ,  | Line no.  11630
Alignment not found |  the  | Line no.  11631
Alignment not found |  kitchen  | Line no.  11631
Alignment not found |  ,  | Line no.  11631
Alignment not found |  on  | Line no.  11632
Alignment not found |  the  | Line no.  11632
Alignment not found |  4  | Line no.  11632
Alignment not found |  day  | Line no.  11632
Alignment not found |  .  | Line no.  11632
Alignment not found |  Booked  | Line no.  11633
Alignment not found |  out  | Line no.  11633
Alignment not found |  from  | Line no.  11634
Alignment not found |  Ur-kununa  | Line no.  11634
Alignment not found |  .  | Line no.  11634
Alignment not found |  Month  | Line no.  11635
Alignment not found |  “  | Line no.  11635
Alignment not found |  Šulgi  | Line no.  11635
Alignment not found |  festival  | Line no.  11635
Alignment not found |  ”  | Line no.  11635
Alignment not found |  ,  | Line no.  11635
Alignment not found |  Year  | Line no.  11636
Alignment not found |  after  | Line no.  11636
Alignment not found |  :  | Line no.  11636
Alignment not found |  “  | Line no.  11636
Alignment not found |  Kimaš  | Line no.  11636
Alignment not found |  was  | Line no.  11636
Alignment not found |  destroyed  | Line no.  11636
Alignment not found |  ”  | Line no.  11636
Alignment not found |  .  | Line no.  11636
Alignment not found |  3  | Line no.  11637
Alignment not found |  bur3  | Line no.  11637
Alignment not found |  3  | Line no.  11637
Alignment not found |  iku  | Line no.  11637
Alignment not found |  3  | Line no.  11637
Alignment not found |  iku  | Line no.  11637
Alignment not found |  field  | Line no.  11637
Alignment not found |  area  | Line no.  11637
Alignment not found |  harrowing  | Line no.  11637
Alignment not found |  ,  | Line no.  11637
Alignment not found |  3  | Line no.  11637
Alignment not found |  time  | Line no.  11637
Alignment not found |  ,  | Line no.  11637
Alignment not found |  at  | Line no.  11637
Alignment not found |  3  | Line no.  11637
Alignment not found |  iku  | Line no.  11637
Alignment not found |  ,  | Line no.  11637
Alignment not found |  its  | Line no.  11638
Alignment not found |  troops  | Line no.  11638
Alignment not found |  ’  | Line no.  11638
Alignment not found |  :  | Line no.  11638
Alignment not found |  3  | Line no.  11638
Alignment not found |  days  | Line no.  11638
Alignment not found |  ;  | Line no.  11638
Alignment not found |  iku  | Line no.  11639
Alignment not found |  field  | Line no.  11639
Alignment not found |  area  | Line no.  11639
Alignment not found |  of  | Line no.  11639
Alignment not found |  tug-sag  | Line no.  11639
Alignment not found |  work  | Line no.  11639
Alignment not found |  iku  | Line no.  11639
Alignment not found |  ,  | Line no.  11639
Alignment not found |  troops  | Line no.  11640
Alignment not found |  ’  | Line no.  11640
Alignment not found |  3  | Line no.  11640
Alignment not found |  month  | Line no.  11641
Alignment not found |  :  | Line no.  11641
Alignment not found |  “  | Line no.  11641
Alignment not found |  Flight  | Line no.  11641
Alignment not found |  ;  | Line no.  11641
Alignment not found |  ”  | Line no.  11641
Alignment not found |  3  | Line no.  11642
Alignment not found |  bur'u  | Line no.  11642
Alignment not found |  3  | Line no.  11642
Alignment not found |  bur3  | Line no.  11642
Alignment not found |  3  | Line no.  11642
Alignment not found |  eše3  | Line no.  11642
Alignment not found |  3  | Line no.  11642
Alignment not found |  iku  | Line no.  11642
Alignment not found |  field  | Line no.  11642
Alignment not found |  area  | Line no.  11642
Alignment not found |  harrowing  | Line no.  11642
Alignment not found |  ,  | Line no.  11642
Alignment not found |  3  | Line no.  11642
Alignment not found |  times  | Line no.  11642
label .01 or .02 does not exist for the predicate. 11642
Alignment not found |  ,  | Line no.  11642
Alignment not found |  at  | Line no.  11642
Alignment not found |  3  | Line no.  11642
Alignment not found |  eše3  | Line no.  11642
Alignment not found |  ,  | Line no.  11642
Alignment not found |  its  | Line no.  11643
Alignment not found |  troops  | Line no.  11643
Alignment not found |  ’  | Line no.  11643
Alignment not found |  labor  | Line no.  11643
Alignment not found |  :  | Line no.  11643
Alignment not found |  days  | Line no.  11643
Alignment not found |  ;  | Line no.  11643
Alignment not found |  3  | Line no.  11644
Alignment not found |  bur3  | Line no.  11644
Alignment not found |  3  | Line no.  11644
Alignment not found |  iku  | Line no.  11644
Alignment not found |  harrowing  | Line no.  11644
Alignment not found |  ,  | Line no.  11644
Alignment not found |  3  | Line no.  11644
Alignment not found |  times  | Line no.  11644
label .01 or .02 does not exist for the predicate. 11644
Alignment not found |  ,  | Line no.  11644
Alignment not found |  at  | Line no.  11644
Alignment not found |  3  | Line no.  11644
Alignment not found |  eše3  | Line no.  11644
Alignment not found |  field  | Line no.  11644
Alignment not found |  area  | Line no.  11644
Alignment not found |  ,  | Line no.  11644
Alignment not found |  its  | Line no.  11645
Alignment not found |  troops  | Line no.  11645
Alignment not found |  ’  | Line no.  11645
Alignment not found |  labor  | Line no.  11645
Alignment not found |  :  | Line no.  11645
Alignment not found |  days  | Line no.  11645
Alignment not found |  ;  | Line no.  11645
Alignment not found |  of  | Line no.  11646
Alignment not found |  harrowing  | Line no.  11646
Alignment not found |  of  | Line no.  11647
Alignment not found |  hoeing  | Line no.  11647
Alignment not found |  ,  | Line no.  11647
Alignment not found |  at  | Line no.  11647
Alignment not found |  ,  | Line no.  11647
Alignment not found |  3  | Line no.  11648
Alignment not found |  of  | Line no.  11649
Alignment not found |  hoeing  | Line no.  11649
Alignment not found |  ,  | Line no.  11649
Alignment not found |  at  | Line no.  11649
Alignment not found |  ;  | Line no.  11649
Alignment not found |  3  | Line no.  11650
Alignment not found |  cut  | Line no.  11651
Alignment not found |  at  | Line no.  11651
Alignment not found |  ,  | Line no.  11651
Alignment not found |  ;  | Line no.  11652
Alignment not found |  600+  | Line no.  11653
Alignment not found |  ,  | Line no.  11653
Alignment not found |  3  | Line no.  11654
Alignment not found |  1060+  | Line no.  11655
Alignment not found |  ,  | Line no.  11655
Alignment not found |  80+  | Line no.  11656
Alignment not found |  :  | Line no.  11657
Alignment not found |  acacia  | Line no.  11657
Alignment not found |  ;  | Line no.  11657
Alignment not found |  3  | Line no.  11658
Alignment not found |  acacia  | Line no.  11659
Alignment not found |  ;  | Line no.  11659
Alignment not found |  3  | Line no.  11660
Alignment not found |  .  | Line no.  11660
Alignment not found |  of  | Line no.  11661
Alignment not found |  ,  | Line no.  11661
Alignment not found |  3  | Line no.  11662
Alignment not found |  of  | Line no.  11663
Alignment not found |  pickaxing  | Line no.  11663
Alignment not found |  ,  | Line no.  11663
Alignment not found |  3  | Line no.  11664
Alignment not found |  of  | Line no.  11665
Alignment not found |  ,  | Line no.  11665
Alignment not found |  3  | Line no.  11666
Alignment not found |  sar  | Line no.  11667
Alignment not found |  at  | Line no.  11667
Alignment not found |  sar  | Line no.  11667
Alignment not found |  ,  | Line no.  11667
Alignment not found |  its  | Line no.  11668
Alignment not found |  labor  | Line no.  11668
Alignment not found |  :  | Line no.  11668
Alignment not found |  days  | Line no.  11668
Alignment not found |  ;  | Line no.  11668
Alignment not found |  3  | Line no.  11669
Alignment not found |  sar  | Line no.  11669
Alignment not found |  of  | Line no.  11669
Alignment not found |  hoeing  | Line no.  11669
Alignment not found |  at  | Line no.  11669
Alignment not found |  3  | Line no.  11669
Alignment not found |  sar  | Line no.  11669
Alignment not found |  ,  | Line no.  11669
Alignment not found |  its  | Line no.  11670
Alignment not found |  labor  | Line no.  11670
Alignment not found |  :  | Line no.  11670
Alignment not found |  days  | Line no.  11670
Alignment not found |  ;  | Line no.  11670
Alignment not found |  3  | Line no.  11671
Alignment not found |  sar  | Line no.  11671
Alignment not found |  of  | Line no.  11671
Alignment not found |  hoeing  | Line no.  11671
Alignment not found |  at  | Line no.  11671
Alignment not found |  3  | Line no.  11671
Alignment not found |  sar  | Line no.  11671
Alignment not found |  ,  | Line no.  11671
Alignment not found |  its  | Line no.  11672
Alignment not found |  :  | Line no.  11672
Alignment not found |  3  | Line no.  11672
Alignment not found |  days  | Line no.  11672
Alignment not found |  ;  | Line no.  11672
Alignment not found |  3  | Line no.  11673
Alignment not found |  sar  | Line no.  11673
Alignment not found |  of  | Line no.  11673
Alignment not found |  hoeing  | Line no.  11673
Alignment not found |  at  | Line no.  11673
Alignment not found |  3  | Line no.  11673
Alignment not found |  sar  | Line no.  11673
Alignment not found |  ,  | Line no.  11673
Alignment not found |  its  | Line no.  11674
Alignment not found |  labor  | Line no.  11674
Alignment not found |  :  | Line no.  11674
Alignment not found |  3  | Line no.  11674
Alignment not found |  days  | Line no.  11674
Alignment not found |  ;  | Line no.  11674
Alignment not found |  work  | Line no.  11675
Alignment not found |  of  | Line no.  11675
Alignment not found |  hirelings  | Line no.  11675
Alignment not found |  at  | Line no.  11675
Alignment not found |  3  | Line no.  11675
Alignment not found |  sila3  | Line no.  11675
Alignment not found |  ;  | Line no.  11675
Alignment not found |  3  | Line no.  11676
Alignment not found |  sar  | Line no.  11676
Alignment not found |  hoeing  | Line no.  11676
Alignment not found |  at  | Line no.  11676
Alignment not found |  3  | Line no.  11676
Alignment not found |  sar  | Line no.  11676
Alignment not found |  ,  | Line no.  11676
Alignment not found |  its  | Line no.  11677
Alignment not found |  labor  | Line no.  11677
Alignment not found |  3  | Line no.  11677
Alignment not found |  days  | Line no.  11677
Alignment not found |  ;  | Line no.  11677
Alignment not found |  3  | Line no.  11678
Alignment not found |  sar  | Line no.  11678
Alignment not found |  of  | Line no.  11678
Alignment not found |  hoeing  | Line no.  11678
Alignment not found |  at  | Line no.  11678
Alignment not found |  3  | Line no.  11678
Alignment not found |  sar  | Line no.  11678
Alignment not found |  ,  | Line no.  11678
Alignment not found |  its  | Line no.  11679
Alignment not found |  labor  | Line no.  11679
Alignment not found |  :  | Line no.  11679
Alignment not found |  3  | Line no.  11679
Alignment not found |  days  | Line no.  11679
Alignment not found |  ;  | Line no.  11679
Alignment not found |  labor  | Line no.  11680
Alignment not found |  oxen  | Line no.  11680
Alignment not found |  drivers  | Line no.  11680
Alignment not found |  ;  | Line no.  11680
Alignment not found |  field  | Line no.  11681
Alignment not found |  work  | Line no.  11681
Alignment not found |  to  | Line no.  11681
Alignment not found |  be  | Line no.  11681
Alignment not found |  done  | Line no.  11681
Alignment not found |  field  | Line no.  11682
Alignment not found |  of  | Line no.  11682
Alignment not found |  Kamari  | Line no.  11682
Alignment not found |  ;  | Line no.  11682
Alignment not found |  foreman  | Line no.  11683
Alignment not found |  :  | Line no.  11683
Alignment not found |  Basa  | Line no.  11683
Alignment not found |  ;  | Line no.  11683
Alignment not found |  under  | Line no.  11684
Alignment not found |  seal  | Line no.  11684
Alignment not found |  of  | Line no.  11684
Alignment not found |  Nimgir-ane  | Line no.  11684
Alignment not found |  .  | Line no.  11684
Alignment not found |  Year  | Line no.  11685
Alignment not found |  :  | Line no.  11685
Alignment not found |  Šašrum  | Line no.  11685
Alignment not found |  was  | Line no.  11685
Alignment not found |  destroyed  | Line no.  11685
Alignment not found |  for  | Line no.  11685
Alignment not found |  the  | Line no.  11685
Alignment not found |  4  | Line no.  11685
Alignment not found |  time  | Line no.  11685
Alignment not found |  .  | Line no.  11685
Alignment not found |  Nimgir-ane  | Line no.  11686
Alignment not found |  ,  | Line no.  11686
Alignment not found |  scribe  | Line no.  11687
Alignment not found |  ,  | Line no.  11687
Alignment not found |  son  | Line no.  11688
Alignment not found |  of  | Line no.  11688
Alignment not found |  Inim-Šara  | Line no.  11688
Alignment not found |  .  | Line no.  11688
Alignment not found |  Basket-of-tablets  | Line no.  11689
Alignment not found |  accounts  | Line no.  11690
Alignment not found |  of  | Line no.  11690
Alignment not found |  soil  | Line no.  11690
Alignment not found |  raised  | Line no.  11690
Alignment not found |  in  | Line no.  11691
Alignment not found |  Apisal  | Line no.  11691
Alignment not found |  ,  | Line no.  11691
Alignment not found |  via  | Line no.  11692
Alignment not found |  Ur-e  | Line no.  11692
Alignment not found |  ’  | Line no.  11692
Alignment not found |  e  | Line no.  11692
Alignment not found |  ,  | Line no.  11692
Alignment not found |  are  | Line no.  11693
Alignment not found |  here  | Line no.  11693
Alignment not found |  ;  | Line no.  11693
Alignment not found |  year  | Line no.  11694
Alignment not found |  :  | Line no.  11694
Alignment not found |  “  | Line no.  11694
Alignment not found |  Šū-Suen  | Line no.  11694
Alignment not found |  ,  | Line no.  11694
Alignment not found |  king  | Line no.  11694
Alignment not found |  of  | Line no.  11694
Alignment not found |  Ur  | Line no.  11694
Alignment not found |  ,  | Line no.  11694
